product_name,category_shelf,match_key
CLINDAMYCIN ( DALACIN C) 150MG CAP 100'S,Prescription medicine,clindamycin ( dalacin c) 150mg cap 100's
CLINDAMYCIN ( DALACIN C) 300MG CAP 16'S,Prescription medicine,clindamycin ( dalacin c) 300mg cap 16's
CLINDAMYCIN ( DALACIN C) 300MG INJ 1'S,Prescription medicine,clindamycin ( dalacin c) 300mg inj 1's
CLINDAMYCIN 150MG 100'S VEGA,OTC,clindamycin 150mg 100's vega
CLINDAMYCIN 150MG CAPS (CLINMAX) 100'S,Prescription medicine,clindamycin 150mg caps (clinmax) 100's
CLINDAMYCIN 300MG CAPS 100'S UK,Prescription medicine,clindamycin 300mg caps 100's uk
CLINDAMYCIN 300MG INJ 5'S,Prescription medicine,clindamycin 300mg inj 5's
CLINDAMYCIN PHOSPATE INJ 300MG/2ML UK 10'S,OTC,clindamycin phospate inj 300mg/2ml uk 10's
CLINDAMYCIN SUSPENSION 100ML,Other / uncategorised,clindamycin suspension 100ml
CLINDAMYCIN VAGINAL CREAM,Prescription medicine,clindamycin vaginal cream
CLOMIPHENE (CLOMID) 50MG TABS 10'S,Prescription medicine,clomiphene (clomid) 50mg tabs 10's
CLONAZEPAM 0.5MG 100',Other / uncategorised,clonazepam 0.5mg 100'
CLONAZEPAM 2MG 100',Other / uncategorised,clonazepam 2mg 100'
CLOPIDOGREL 75MG TAB 28'S UK,Prescription medicine,clopidogrel 75mg tab 28's uk
CLOPIDOGREL 75MG TAB 30'S (FRELET 75),Prescription medicine,clopidogrel 75mg tab 30's (frelet 75)
CLOPIDOGREL ZENTIVA 75MG TAB 28'S,Prescription medicine,clopidogrel zentiva 75mg tab 28's
CLOPIDOREL ( PLAVIX) 75MG TABS 28'S,Prescription medicine,clopidorel ( plavix) 75mg tabs 28's
CLOTRI-DENK CREAM 1%,Pharmacy medicine,clotri-denk cream 1%
CLOTRIMAZOLE ( CLOTRI-DENK) 100MG VAGINAL PESS 6'S,OTC,clotrimazole ( clotri-denk) 100mg vaginal pess 6's
CLOTRIMAZOLE 100 (CANDID V6) PESS 6'S,OTC,clotrimazole 100 (candid v6) pess 6's
CLOTRIMAZOLE CREAM 1% 20G,OTC,clotrimazole cream 1% 20g
CLOTRIMAZOLE PESS 100MG 6'S VEGA,Other / uncategorised,clotrimazole pess 100mg 6's vega
CO AMOXICLAV 600MG INJECTION,Prescription medicine,co amoxiclav 600mg injection
CO-AMOXICLAV SUSP UK 228.5MG/5ML 70ML,Prescription medicine,co-amoxiclav susp uk 228.5mg/5ml 70ml
CO-AMOXICLAV SUSP UK 457MG/5ML 70ML,Prescription medicine,co-amoxiclav susp uk 457mg/5ml 70ml
CO-AMOXICLAV UK 1000MG VEGA,Prescription medicine,co-amoxiclav uk 1000mg vega
CO-AMOXICLAV UK TAB 625MG VEGA,Prescription medicine,co-amoxiclav uk tab 625mg vega
CO-CODAMOL 30/500MG TAB 100'S,Prescription medicine,co-codamol 30/500mg tab 100's
CO-CODAMOL 8/500MG 100',Pharmacy medicine,co-codamol 8/500mg 100'
CO-CODAMOL 8/500MG 32'S,Prescription medicine,co-codamol 8/500mg 32's
CO-DIOVAN TABS ( 160/12.5)MG 28'S,Pharmacy medicine,co-diovan tabs ( 160/12.5)mg 28's
CO-DIOVAN TABS ( 80/12.5)MG 28'S,Pharmacy medicine,co-diovan tabs ( 80/12.5)mg 28's
CO-MICARDIS (TELMISARTAN) 40/12.5MG TAB 28'S,Prescription medicine,co-micardis (telmisartan) 40/12.5mg tab 28's
CO-MICARDIS (TELMISARTAN) 80/12.5MG TAB 28'S,Other / uncategorised,co-micardis (telmisartan) 80/12.5mg tab 28's
COA MIXTURE 250ML,OTC,coa mixture 250ml
COA PLUS,Other / uncategorised,coa plus
COARTEM D 20/120MG 12'S,Pharmacy medicine,coartem d 20/120mg 12's
COARTEM D 20/120MG 18'S,Pharmacy medicine,coartem d 20/120mg 18's
COARTEM D 20/120MG 6'S,Pharmacy medicine,coartem d 20/120mg 6's
COARTEM TABS 80/480MG 6'S,Pharmacy medicine,coartem tabs 80/480mg 6's
COKE ZERO CAN 330ML,Other / uncategorised,coke zero can 330ml
COLCHICINE 500MCG TAB 100'S UK,Prescription medicine,colchicine 500mcg tab 100's uk
COLDIRON SIROP 125ML,OTC,coldiron sirop 125ml
COLDRILIF CAPS,OTC,coldrilif caps
COLDRILIF DECONGESTANT ANTIPYRETIC SYRUP 60ML,Prescription medicine,coldrilif decongestant antipyretic syrup 60ml
COLGATE ADV WHITE 75ML,OTC,colgate adv white 75ml
COLGATE ADV WHITE CHARCOAL 75ML,"Food, drinks & essentials",colgate adv white charcoal 75ml
COLGATE DEEP CLEAN WHITENING BAKING SODA 75ML,OTC,colgate deep clean whitening baking soda 75ml
COLGATE DOUBLE ACTION T/BRUSH,Other / uncategorised,colgate double action t/brush
COLGATE HERBAL T/PASTE 140ML,OTC,colgate herbal t/paste 140ml
COLGATE M/WASH 250ML,Other / uncategorised,colgate m/wash 250ml
COLGATE M/WASH 500ML ALL TYPES,OTC,colgate m/wash 500ml all types
COLGATE MAX CLEAN T/PASTE 75ML,Other / uncategorised,colgate max clean t/paste 75ml
COLGATE MAX FRESH COOL MINT 100ML,Other / uncategorised,colgate max fresh cool mint 100ml
COLGATE MAX FRESH COOL MINT 75ML,Other / uncategorised,colgate max fresh cool mint 75ml
COLGATE MAX FRESH COOLING CRYSRAL 100ML,Other / uncategorised,colgate max fresh cooling crysral 100ml
COLGATE MAXFRESH COOLIN CRYSTAL 75ML,OTC,colgate maxfresh coolin crystal 75ml
COLGATE NATURAL EXT CHARCOAL T/PASTE 75ML,OTC,colgate natural ext charcoal t/paste 75ml
COLGATE PLAX SOFT MINT M/WASH 250ML,Other / uncategorised,colgate plax soft mint m/wash 250ml
COLGATE T/BRUSH ELECRIC BARBIE,OTC,colgate t/brush elecric barbie
COLGATE T/BRUSH ELECTRIC BAT MAN,OTC,colgate t/brush electric bat man
COLGATE T/PASTE 0-2YRS,OTC,colgate t/paste 0-2yrs
COLGATE T/PASTE 2-5 YRS,OTC,colgate t/paste 2-5 yrs
COLGATE T/PASTE 6 YRS+,OTC,colgate t/paste 6 yrs+
COLGATE T/PASTE 6-9 YRS,OTC,colgate t/paste 6-9 yrs
COLGATE T/PASTE CAVITY PROTECTION 75ML,Other / uncategorised,colgate t/paste cavity protection 75ml
COLGATE T/PASTE KIDS MINT 6+ 50ML,Other / uncategorised,colgate t/paste kids mint 6+ 50ml
COLGATE T/PASTE MAX CAVITY PROTECTN,OTC,colgate t/paste max cavity protectn
COLGATE T/PASTE SENSITIVE INSTANT ENAMEL,OTC,colgate t/paste sensitive instant enamel
COLGATE T/PASTE TOTAL ACTIVE FRESH 75ML,OTC,colgate t/paste total active fresh 75ml
COLGATE T/PASTE TRIPLE ACTION XTRA WHITE 75G,Other / uncategorised,colgate t/paste triple action xtra white 75g
COLGATE TOOTH BRUSH 3-5,Cosmetics,colgate tooth brush 3-5
COLGATE TOOTH BRUSH 6 - 9,Other / uncategorised,colgate tooth brush 6 - 9
COLGATE TOOTH BRUSH EXTRA CLEAN MEDIUM 3'S,OTC,colgate tooth brush extra clean medium 3's
COLGATE TOOTHBRUSH SMILES 0-2 YEARS,Other / uncategorised,colgate toothbrush smiles 0-2 years
COLGATE TOOTHBRUSH TRIPLE ACTION TWIN,Other / uncategorised,colgate toothbrush triple action twin
COLGATE TOOTHPASTE SMILES KIDS 3+ 50ML,Other / uncategorised,colgate toothpaste smiles kids 3+ 50ml
COLGATE TOTAL ORIGINAL T/PASTE 75ML,Other / uncategorised,colgate total original t/paste 75ml
COLGATE TOTAL WHITENING T/PASTE 75ML,Other / uncategorised,colgate total whitening t/paste 75ml
COLGATE TRIPLE ACTION T/PASTE 75ML,OTC,colgate triple action t/paste 75ml
COLGATE WHITE TEETH T/PASTE 75ML,OTC,colgate white teeth t/paste 75ml
COLLAGEN YOUTHEORY 390'S,OTC,collagen youtheory 390's
COLLAR HARD WITH CHIN,Other / uncategorised,collar hard with chin
COLODIUM CAPS,OTC,colodium caps
COLOSAR DENK 100/12.5MG,Prescription medicine,colosar denk 100/12.5mg
COMBAMED ORAL SUSP 15ML,Other / uncategorised,combamed oral susp 15ml
COMBAMED TAB 125MG,OTC,combamed tab 125mg
COMBIGAN EYE DROP 5ML,Prescription medicine,combigan eye drop 5ml
COMIT 100 TAB,OTC,comit 100 tab
COMIT 50,OTC,comit 50
COMPRESSION STOCKINGS (ABOVE THIGH ),Pharmacy medicine,compression stockings (above thigh )
COMPRESSION STOCKINGS S/S (ABOVE KNEE),OTC,compression stockings s/s (above knee)
CONFIDO TAB 60'S,OTC,confido tab 60's
CONGESTYL SYR (CHLORPHENIRAMINE 1.5MG) 60MLS,Pharmacy medicine,congestyl syr (chlorpheniramine 1.5mg) 60mls
CONGESTYL TABS,Pharmacy medicine,congestyl tabs
CONTAC DUAL RELIEF TABS 18'S,OTC,contac dual relief tabs 18's
CONTIFLO XL (TAMSULOSIN) 400MG 30'S,Pharmacy medicine,contiflo xl (tamsulosin) 400mg 30's
COOL EYES DROPS 10ML (ASHFORD),OTC,cool eyes drops 10ml (ashford)
CORALAN IVABRADINE 7.5MG TABS,Prescription medicine,coralan ivabradine 7.5mg tabs
CORALAN(IVABRADINE) 5MG TABS,OTC,coralan(ivabradine) 5mg tabs
CORORANGE MULTIVITAMIN CAPS,Pharmacy medicine,cororange multivitamin caps
CORORANGE MULTIVITAMIN SYR,Pharmacy medicine,cororange multivitamin syr
CORSODYL 500ML ALL TYPES,OTC,corsodyl 500ml all types
CORSODYL COMPLETE PROTECTION M/WASH 500ML,Other / uncategorised,corsodyl complete protection m/wash 500ml
CORSODYL ORIGINAL 300ML ALL TYPES,Pharmacy medicine,corsodyl original 300ml all types
CORSODYL TOOTH PASTE 100ML,Other / uncategorised,corsodyl tooth paste 100ml
COSOPT EYE DROP 5ML,Prescription medicine,cosopt eye drop 5ml
COVERAM 10M/10MG (PERINDOPRIL/AMLO),Prescription medicine,coveram 10m/10mg (perindopril/amlo)
COVERAM 10MG/5MG TAB,Prescription medicine,coveram 10mg/5mg tab
COVERAM 5/10MG TABS,Other / uncategorised,coveram 5/10mg tabs
COVERAM 5M/5MG (PERINDOPRIL/AMLO),Prescription medicine,coveram 5m/5mg (perindopril/amlo)
COVERSYL 10MG TAB 30'S,Prescription medicine,coversyl 10mg tab 30's
COVERSYL 5MG TAB 30'S,Prescription medicine,coversyl 5mg tab 30's
COVERSYL PLUS 10/2.5MG TAB 30'S,Prescription medicine,coversyl plus 10/2.5mg tab 30's
COVERSYL PLUS 5/1.25MG TAB 30'S,Prescription medicine,coversyl plus 5/1.25mg tab 30's
COVONIA CATARRH RELIEF 150ML,Other / uncategorised,covonia catarrh relief 150ml
COVONIA CHESTY COUGH MENTHOLATED 150ML,Other / uncategorised,covonia chesty cough mentholated 150ml
COVONIA COUGH BRONCHIAL BALSAM 150MLS,Other / uncategorised,covonia cough bronchial balsam 150mls
COVONIA DRY TICKLY 150ML,OTC,covonia dry tickly 150ml
COVONIA MUCUS SYRUP 150ML,Prescription medicine,covonia mucus syrup 150ml
COVONIA THROAT SPRAY,OTC,covonia throat spray
COVONIA VAPOUR DROP 15ML,Other / uncategorised,covonia vapour drop 15ml
CREPE BANDAGE 2 INCH,Other / uncategorised,crepe bandage 2 inch
CREPE BANDAGE 2INCH (HIGH ELASTIC) 5CM,Other / uncategorised,crepe bandage 2inch (high elastic) 5cm
CREPE BANDAGE 3INCH (HIGH ELASTIC) 7.5CM X 4.5M,Prescription medicine,crepe bandage 3inch (high elastic) 7.5cm x 4.5m
CREPE BANDAGE 4 INCHES ALL TYPES,OTC,crepe bandage 4 inches all types
CREPE BANDAGE 4INCH (HIGH ELASTIC) 10CM X 4.5M,OTC,crepe bandage 4inch (high elastic) 10cm x 4.5m
CREPE BANDAGE 6 INCH (HIGH ELASTIC) 15CM X 4.5M,OTC,crepe bandage 6 inch (high elastic) 15cm x 4.5m
CRESTOR TABS 10MG 28'S,Pharmacy medicine,crestor tabs 10mg 28's
CRESTOR TABS 20MG 28'S,Pharmacy medicine,crestor tabs 20mg 28's
CRESTOR TABS 5MG 28'S,Pharmacy medicine,crestor tabs 5mg 28's
CROMAX 2 EYE DROP 10ML,Pharmacy medicine,cromax 2 eye drop 10ml
CROMAX 4 EYE DROP 10ML,Other / uncategorised,cromax 4 eye drop 10ml
CRYSTALLINE PENNICILLIN G 1MEGA INJ 50'S TROGE,Prescription medicine,crystalline pennicillin g 1mega inj 50's troge
CS MEDIC WAXED FLOSSPICKS MINT FLAVOUR 75'S,OTC,cs medic waxed flosspicks mint flavour 75's
CURALENE SOAP GLYCERINE NATURAL HONEY,Other / uncategorised,curalene soap glycerine natural honey
CUTICEL C 10CM*30CM 10'S,Pharmacy medicine,cuticel c 10cm*30cm 10's
CYFEN CYPROHEPTADINE SYRUP 200ML MGP,OTC,cyfen cyproheptadine syrup 200ml mgp
CYPRODINE CAPS 30'S,OTC,cyprodine caps 30's
CYPRODINE SYRUP 200ML,OTC,cyprodine syrup 200ml
CYSTONE TABS 100'S HIMALAYA,Other / uncategorised,cystone tabs 100's himalaya
DAFLON DIOSMINE 500MG TABS 30'S,Pharmacy medicine,daflon diosmine 500mg tabs 30's
DAKTACORT CREAM 20MG/10MG 15G,OTC,daktacort cream 20mg/10mg 15g
DAKTACORT HC-CREAM 15GM,Other / uncategorised,daktacort hc-cream 15gm
DAKTARIN AKTIV CREAM (MICONAZOLE NITRATE) 15G,OTC,daktarin aktiv cream (miconazole nitrate) 15g
DAKTARIN AKTIV CREAM 30MG,Other / uncategorised,daktarin aktiv cream 30mg
DAKTARIN AKTIV SPRAY POWDER,OTC,daktarin aktiv spray powder
DAKTARIN ORAL GEL (MICONAZOLE 40G),OTC,daktarin oral gel (miconazole 40g)
DAKTARIN POWDER,Other / uncategorised,daktarin powder
DAKTARIN TINCTURE 30ML,Other / uncategorised,daktarin tincture 30ml
DAKTARIN TOPICAL CREAM 15G,OTC,daktarin topical cream 15g
DALACIN C 1% GEL 30G,Pharmacy medicine,dalacin c 1% gel 30g
DALACIN T (CLINDAMYCIN) LOTION 30ML,Pharmacy medicine,dalacin t (clindamycin) lotion 30ml
DAONIL 5MG TAB 100'S,Pharmacy medicine,daonil 5mg tab 100's
DAONIL TAB 5MG 60'S,Prescription medicine,daonil tab 5mg 60's
DARAPRIM 25MG TAB 30'S,Prescription medicine,daraprim 25mg tab 30's
DAY & NIGHT NURSE CAP,Prescription medicine,day & night nurse cap
DAY NURSE CAPS,OTC,day nurse caps
DAY VIT ACTIVE TABS 30',OTC,day vit active tabs 30'
DAY VIT PROBIOTIC TABS 30'S H/AID,Other / uncategorised,day vit probiotic tabs 30's h/aid
DAYQUIL NYQUIL SEVERE CAPS 48'S,OTC,dayquil nyquil severe caps 48's
DAYQUIL SEVERE COLD &FLU SYR 354ML,OTC,dayquil severe cold &flu syr 354ml
DEBRIDACE OINTMENT 15G,Prescription medicine,debridace ointment 15g
DECATYLEN LOZENGES 20'S,OTC,decatylen lozenges 20's
DEEP FREEZE COLD SPRAY 72.5ML,OTC,deep freeze cold spray 72.5ml
DEEP FREEZE GEL 100G,OTC,deep freeze gel 100g
DEEP FREEZE GEL 35G,OTC,deep freeze gel 35g
DEEP HEAT RUB,OTC,deep heat rub
DEEP HEAT RUB 100G,OTC,deep heat rub 100g
DEEP HEAT RUB 35G,Pharmacy medicine,deep heat rub 35g
DEEP HEAT SPRAY,OTC,deep heat spray
DELORATIDINE ( DESLORA-DENK) 5MG TABS 10'S,Pharmacy medicine,deloratidine ( deslora-denk) 5mg tabs 10's
DELSYM COUGH SYR 148ML,Other / uncategorised,delsym cough syr 148ml
DEMACOT CREAM 15G (BETAMETHASONE CLOTRI GENTAMICIN),Pharmacy medicine,demacot cream 15g (betamethasone clotri gentamicin)
DENTAL FLOSS STICK ALL TYPES,OTC,dental floss stick all types
DERIVA GEL 0.1% (ADAPALENE GEL) 15G,OTC,deriva gel 0.1% (adapalene gel) 15g
DERMA V 10 HYDRATING CREAM 50ML,OTC,derma v 10 hydrating cream 50ml
DERMOFIX CREAM 20G (SERTACONAZOLE 20MG),Pharmacy medicine,dermofix cream 20g (sertaconazole 20mg)
DERMOVATE CREAM 30G,Prescription medicine,dermovate cream 30g
DERMOVATE SCALP APPL. 100ML,OTC,dermovate scalp appl. 100ml
DESLORATADINE 5MG TAB 30'S UK,Other / uncategorised,desloratadine 5mg tab 30's uk
DETTOL 125ML,Cosmetics,dettol 125ml
DETTOL 2 IN 1 ANTI BACTERIAL WIPES 15'S,OTC,dettol 2 in 1 anti bacterial wipes 15's
DETTOL ANTI-SEPTIC LIQUID 250ML,Other / uncategorised,dettol anti-septic liquid 250ml
DETTOL ANTI-SEPTIC LIQUID 500ML,Cosmetics,dettol anti-septic liquid 500ml
DETTOL ANTI-SEPTIC LIQUID 750ML UK,Cosmetics,dettol anti-septic liquid 750ml uk
DETTOL ANTIBAC SOAP BAR ORIG 100GM,Cosmetics,dettol antibac soap bar orig 100gm
DETTOL FLOOR WIPES CITRUS 10'S,Other / uncategorised,dettol floor wipes citrus 10's
DETTOL MULTI SURFACE WIPES 30' S,Other / uncategorised,dettol multi surface wipes 30' s
DETTOL ORI BAR SOAP TWIN 100G,Other / uncategorised,dettol ori bar soap twin 100g
DEXAMETHASONE 4MG TAB 100'S,Other / uncategorised,dexamethasone 4mg tab 100's
DEXAMETHASONE INJ 4MG/1ML,Prescription medicine,dexamethasone inj 4mg/1ml
DEXATROL EYE OINT,OTC,dexatrol eye oint
DEXATROL EYE/EAR DROPS 5ML,Prescription medicine,dexatrol eye/ear drops 5ml
DEXONE (DEXAMETHASONE) 0.5MG,Prescription medicine,dexone (dexamethasone) 0.5mg
DEXOPTIC N EYE DROP 10 ASHFORD,OTC,dexoptic n eye drop 10 ashford
DEXORANGE MULTIVITAMIN SYR 200ML,OTC,dexorange multivitamin syr 200ml
DEXTROSE 5% AND SODUIM CHLORIDE 0.9% (DNS) INFUSION 1000ML,Prescription medicine,dextrose 5% and soduim chloride 0.9% (dns) infusion 1000ml
DEXTROSE 5% GLUCOSE INFUSION 500ML,Prescription medicine,dextrose 5% glucose infusion 500ml
DIABETONE ORIG CAPS 30'S,Other / uncategorised,diabetone orig caps 30's
DIABETONE PLUS CAPS 56'S,Prescription medicine,diabetone plus caps 56's
DIAGELLATES 125ML,OTC,diagellates 125ml
DIAGELLATES 250ML,OTC,diagellates 250ml
DIAGELLATES 500ML,OTC,diagellates 500ml
DIAMICRON 30MG MR TAB 30',Prescription medicine,diamicron 30mg mr tab 30'
DIAMICRON 60MG 30'S,OTC,diamicron 60mg 30's
DIAMICRON 60MG 60'S,Other / uncategorised,diamicron 60mg 60's
DIAMICRON MR 30MG TAB 60'S,Prescription medicine,diamicron mr 30mg tab 60's
DIANE 2MG/35MCG TAB (SIPROTERON/ETINILESTRADIOL),Prescription medicine,diane 2mg/35mcg tab (siproteron/etinilestradiol)
DIAZEPAM INJ 10MG/2ML,Prescription medicine,diazepam inj 10mg/2ml
DIAZEPAM TAB 5MG 500'S ECL,Other / uncategorised,diazepam tab 5mg 500's ecl
DIAZEPAM TABS 10MG 500S ECL,Other / uncategorised,diazepam tabs 10mg 500s ecl
DICLO-DENK SUPP 100MG ( DICLOFENAC) 10'S,OTC,diclo-denk supp 100mg ( diclofenac) 10's
DICLO-DENK TAB 100MG RETARD,Prescription medicine,diclo-denk tab 100mg retard
DICLOFENAC (OLFEN) 1% GEL 20G,OTC,diclofenac (olfen) 1% gel 20g
DICLOFENAC (OLFEN) 1% GEL 50G,OTC,diclofenac (olfen) 1% gel 50g
DICLOFENAC INJ 75MG/3ML 10'S,Pharmacy medicine,diclofenac inj 75mg/3ml 10's
DICLOLEX 100MG SUPPOSITORY 10'S,OTC,diclolex 100mg suppository 10's
DICLOLEX POWER HEAT GEL 30G,Pharmacy medicine,diclolex power heat gel 30g
DICLOLEX SPRAY 100G,Other / uncategorised,diclolex spray 100g
DICLOLEX TAB 100MG LUEX,Pharmacy medicine,diclolex tab 100mg luex
DICNAC 100MG SUPP,OTC,dicnac 100mg supp
DIFFERIN ADAPALENE GEL 2*30G DOUBLE PACK,Prescription medicine,differin adapalene gel 2*30g double pack
DIFFLAM LOZENGES 3MG 20'S,Other / uncategorised,difflam lozenges 3mg 20's
DIFFLAM SORE THROAT RINSE 200MLS,OTC,difflam sore throat rinse 200mls
DIFFLAM SORE THROAT SPRAY,Pharmacy medicine,difflam sore throat spray
DIFLUCAN TAB (FLUCONAZOLE) 150MG,OTC,diflucan tab (fluconazole) 150mg
DIGITAL THERMOMETER UK,OTC,digital thermometer uk
DIGOXIN TAB 125MCG 28'S,Prescription medicine,digoxin tab 125mcg 28's
DIHYDROCODEINE 30MG TABS 100'S,Prescription medicine,dihydrocodeine 30mg tabs 100's
DILATREND 12.5MG TABS 30'S ( CARVIDELOL),Pharmacy medicine,dilatrend 12.5mg tabs 30's ( carvidelol)
DILATREND 25MG TABS 30'S ( CARVIDELOL),Pharmacy medicine,dilatrend 25mg tabs 30's ( carvidelol)
DILATREND 6.25MG TABS 30'S ( CARVIDELOL),Prescription medicine,dilatrend 6.25mg tabs 30's ( carvidelol)
DIORALYTE SACHETS ALL TYPES 6'S,Other / uncategorised,dioralyte sachets all types 6's
DIOVAN TABS 80MG 28'S,Prescription medicine,diovan tabs 80mg 28's
DIOVAN TANS 160MG 28'S,Pharmacy medicine,diovan tans 160mg 28's
DIPROSON CREAM 30G,Prescription medicine,diproson cream 30g
DIPROSON LOTION 30ML,Pharmacy medicine,diproson lotion 30ml
DISNEY PRINCESS BATH & SHOWER BUBBLES 400ML,Other / uncategorised,disney princess bath & shower bubbles 400ml
DISNEY PRINCESS T/BRUSH DUO,Other / uncategorised,disney princess t/brush duo
DITHRANOL JAR DANNEX,Other / uncategorised,dithranol jar dannex
DOLOFORTE DENK TAB 20'S,Prescription medicine,doloforte denk tab 20's
DOMI 10 DOMPERODONE SUPP 10MG 5'S BLISS GVS,OTC,domi 10 domperodone supp 10mg 5's bliss gvs
DOMI-30 (DOMPERIDONE) SUPP 5'S,OTC,domi-30 (domperidone) supp 5's
DOMINION HERBAL POWDER 80G,Other / uncategorised,dominion herbal powder 80g
DOMPERIDONE TABS 10MG 100'S,Pharmacy medicine,domperidone tabs 10mg 100's
DONEPEZIL 10MG TABS,Prescription medicine,donepezil 10mg tabs
DONEPEZIL 5MG TAB,Prescription medicine,donepezil 5mg tab
DOPATABS M 250 100'S (HOVID ),OTC,dopatabs m 250 100's (hovid )
DORETA TABS (37.5/325)MG 20'S,Pharmacy medicine,doreta tabs (37.5/325)mg 20's
DORMICUM TAB 15MG 10'S,Prescription medicine,dormicum tab 15mg 10's
DOVE A/P DEO ALL TYPES 200ML,Other / uncategorised,dove a/p deo all types 200ml
DOVE A/P DEO ALL TYPES 250ML,Other / uncategorised,dove a/p deo all types 250ml
DOVE ALL TYPES DEO SPRAY 150ML,Other / uncategorised,dove all types deo spray 150ml
DOVE BAR SOAP,Cosmetics,dove bar soap
DOVE BATH 750ML ALL TYPE,Cosmetics,dove bath 750ml all type
DOVE BODY LOTION 250MLS,Cosmetics,dove body lotion 250mls
DOVE BODY LOTION 400ML ALL TYPES,OTC,dove body lotion 400ml all types
DOVE BODY WASH 400ML ALL TYPES,Cosmetics,dove body wash 400ml all types
DOVE BODYWASH ALL TYPES 225 ML,Other / uncategorised,dove bodywash all types 225 ml
DOVE LIP CARE,OTC,dove lip care
DOVE MEN+ A/P CLASSIC 150ML,Other / uncategorised,dove men+ a/p classic 150ml
DOVE MEN+ CARE CREAM 75ML,Other / uncategorised,dove men+ care cream 75ml
DOVE MUSHROOM DEODORANT STICK 50ML,Other / uncategorised,dove mushroom deodorant stick 50ml
DOVE ROLL ON ALL TYPES,Cosmetics,dove roll on all types
DOVE SHOWER GEL 450ML ALL TYPES,Cosmetics,dove shower gel 450ml all types
DOVE STICK ALL TYPES 50ML,Other / uncategorised,dove stick all types 50ml
DOXAZOSIN 1MG 28'S,OTC,doxazosin 1mg 28's
DOXAZOSIN 2MG TEVA,Prescription medicine,doxazosin 2mg teva
DOXAZOXIN 4MG,Prescription medicine,doxazoxin 4mg
DOXYCYCLINE 100MG 50'S VEGA,Other / uncategorised,doxycycline 100mg 50's vega
DOXYCYCLINE 100MG CAPS 50'S UK,OTC,doxycycline 100mg caps 50's uk
DOXYCYCLINE ECL 100MG 200',OTC,doxycycline ecl 100mg 200'
DR SECRET BIO HERB COFFEE 6' (FOREVER YOUNG),Herbal,dr secret bio herb coffee 6' (forever young)
DR TEALS BODY WASH 710MLS,Cosmetics,dr teals body wash 710mls
DR TEALS PURE EPSOM SALT 1.36KG,OTC,dr teals pure epsom salt 1.36kg
DR. TEALS BODY LOTION 532ML,Cosmetics,dr. teals body lotion 532ml
DRAGON DELAY SPRAY 12ML RENIE,Pharmacy medicine,dragon delay spray 12ml renie
DRAGON LOZENGES 4'S,OTC,dragon lozenges 4's
DRAGON LUBE GEL 50ML ALL TYPES,OTC,dragon lube gel 50ml all types
DRAGON TADALAFIL TAB 20MG,Pharmacy medicine,dragon tadalafil tab 20mg
DREZ OINTMENT 10G,OTC,drez ointment 10g
DREZ OINTMENT 30G,OTC,drez ointment 30g
DREZ POWDER 10G,OTC,drez powder 10g
DREZ SOLUTION 100ML,OTC,drez solution 100ml
DREZ SOLUTION 30ML,OTC,drez solution 30ml
DREZ V GEL 30G,OTC,drez v gel 30g
DULCOEASE SOFT GEL CAPS 100MG 30'S,Other / uncategorised,dulcoease soft gel caps 100mg 30's
DULCOLAX 5MG TAB 20'S,OTC,dulcolax 5mg tab 20's
DULCOLAX 5MG TAB 8'S,Other / uncategorised,dulcolax 5mg tab 8's
DULCOLAX LIQUID UK 100ML,OTC,dulcolax liquid uk 100ml
DULCOLAX TWELVE PLUS 10MG (BISACODYL) 12'S SUPP,Pharmacy medicine,dulcolax twelve plus 10mg (bisacodyl) 12's supp
DULOXETINE GR CAPS 30MG 28'S,Other / uncategorised,duloxetine gr caps 30mg 28's
DUNCANS OF DEESIDE SCOTTISH SHORTBREAD,Other / uncategorised,duncans of deeside scottish shortbread
DUOTRAV EYE DROP 2.5ML,OTC,duotrav eye drop 2.5ml
DUPHALAC 667MG SUSP 200ML,OTC,duphalac 667mg susp 200ml
DUPHASTON 10MG,Prescription medicine,duphaston 10mg
DUREX ALL TYPES CONDOM 3',OTC,durex all types condom 3'
DUREX CONDOM 12'S,Other / uncategorised,durex condom 12's
DUREX CONDOM 6'S,Other / uncategorised,durex condom 6's
DUREX MASSAGE GEL 200G,OTC,durex massage gel 200g
DUREX PLAY GEL 100ML,Cosmetics,durex play gel 100ml
DUREX PLAY TUBE 50MLS,Pharmacy medicine,durex play tube 50mls
DUROL TONIC 200ML DANNEX,OTC,durol tonic 200ml dannex
DUROL TONIC 300ML,OTC,durol tonic 300ml
DUROL TONIC JUNIOR 200ML,OTC,durol tonic junior 200ml
DUROMINE 30MG CAPS,Prescription medicine,duromine 30mg caps
DYKLO SPRAY 60ML,Prescription medicine,dyklo spray 60ml
DYLON COLOR CATCHER 24'S,Other / uncategorised,dylon color catcher 24's
DYMISTA NASAL SPRAY SUSPENSION,Prescription medicine,dymista nasal spray suspension
DYMOL 50/500MG (DICLO/PARA),Pharmacy medicine,dymol 50/500mg (diclo/para)
DYNAMOGEN ORAL SOLUTION,OTC,dynamogen oral solution
DYNEWELL SYRUP 200ML,OTC,dynewell syrup 200ml
E PANOL SYR 120MG/5ML 100ML PLAIN/STRAWBERRY ALL TYPES,OTC,e panol syr 120mg/5ml 100ml plain/strawberry all types
E45 CREAM 125G,Cosmetics,e45 cream 125g
