product_name,category_shelf,match_key
ALDOMET 250MG TABS 30'S,Other / uncategorised,aldomet 250mg tabs 30's
ALDOMET TAB 50OMG 30'S (METHYLDOPA),OTC,aldomet tab 50omg 30's (methyldopa)
ALENDRONIC ACID 70MG TABS,OTC,alendronic acid 70mg tabs
ALKA 5 SYRUP 100ML,Prescription medicine,alka 5 syrup 100ml
ALKA SELTZER 10'S EFFERVESCENCE,OTC,alka seltzer 10's effervescence
ALKA SELTZER XS TAB 24'S,OTC,alka seltzer xs tab 24's
ALLEREX EYE EYE DROPS 10ML,Other / uncategorised,allerex eye eye drops 10ml
ALLEVIA (FEXOFENADINE) 120MG 30S,Other / uncategorised,allevia (fexofenadine) 120mg 30s
ALLEVIA (FEXOFENIDINE) 120MG TAB 15S,OTC,allevia (fexofenidine) 120mg tab 15s
ALLOPURINOL 100MG 100'S ZYLORIC,Pharmacy medicine,allopurinol 100mg 100's zyloric
ALLOPURINOL 100MG TABS 28'S UK,OTC,allopurinol 100mg tabs 28's uk
ALLOPURINOL 300MG TABS 28'S,OTC,allopurinol 300mg tabs 28's
ALLOPURINOL(ZYLORIC)300MG 28'S,Other / uncategorised,allopurinol(zyloric)300mg 28's
ALOE VERA CREAM 454G,Other / uncategorised,aloe vera cream 454g
ALPECIN CAFFEINE SHAMPOO 250ML,Other / uncategorised,alpecin caffeine shampoo 250ml
ALPEN RAISIN & ALMOND GRANULA 1G,"Food, drinks & essentials",alpen raisin & almond granula 1g
ALPHA GARLIC CAPS 60'S,OTC,alpha garlic caps 60's
ALPHAGAN PURITE EYE DROPS,OTC,alphagan purite eye drops
ALUMINIUM HYDROXIDE 500MG TABS 500'S (M&G),OTC,aluminium hydroxide 500mg tabs 500's (m&g)
ALWAYS CLASSIC MAXI WITH WINGS SIZE 1 20'S,Other / uncategorised,always classic maxi with wings size 1 20's
ALWAYS CLASSIC NIGHT 8'S,Other / uncategorised,always classic night 8's
ALWAYS CLASSIC NORMAL 9'S,Pharmacy medicine,always classic normal 9's
ALWAYS DAILIES LINER NORMAL 54',Other / uncategorised,always dailies liner normal 54'
ALWAYS DAILIES LINERS LONG 46'S,Other / uncategorised,always dailies liners long 46's
ALWAYS DAILLIES FOLD & WRAP SCENTED 20'S,Other / uncategorised,always daillies fold & wrap scented 20's
ALWAYS DAILY FRESH NORM 54'S,OTC,always daily fresh norm 54's
ALWAYS DAILY SCENTED FRESH 20'S,OTC,always daily scented fresh 20's
ALWAYS DISCREET LONG ABS 4 10'S,Other / uncategorised,always discreet long abs 4 10's
ALWAYS DISCREET PADS LONG 10'S,Other / uncategorised,always discreet pads long 10's
ALWAYS DISCREET PADS NORMAL 12'S,OTC,always discreet pads normal 12's
ALWAYS INFINITY 12S,OTC,always infinity 12s
ALWAYS ULTRA LONG PLUS 11'S,Other / uncategorised,always ultra long plus 11's
ALWAYS ULTRA NIGHT 9'S PAD,Other / uncategorised,always ultra night 9's pad
ALWAYS ULTRA NORMAL PLUS 13'S,Other / uncategorised,always ultra normal plus 13's
AMANTADINE SULPHATE 100MG,Prescription medicine,amantadine sulphate 100mg
AMEDIN (AMLODIPINE) 10MG TAB 28'S,Prescription medicine,amedin (amlodipine) 10mg tab 28's
AMICLOX 250 AMPICILLIN 125MG 100ML,Other / uncategorised,amiclox 250 ampicillin 125mg 100ml
AMIKACIN SULPHATE 500MG INJ,OTC,amikacin sulphate 500mg inj
AMINO PEP FORTE SYRUP 200ML,OTC,amino pep forte syrup 200ml
AMIODARONE 100MG,OTC,amiodarone 100mg
AMIODARONE 200MG TAB,OTC,amiodarone 200mg tab
AMITRIPTYLINE 10MG TAB 28'S ACCORD,Other / uncategorised,amitriptyline 10mg tab 28's accord
AMITRIPTYLINE 10MG TAB 28'S TEVA,Prescription medicine,amitriptyline 10mg tab 28's teva
AMITRIPTYLINE 25MG 28' TABS UK,Pharmacy medicine,amitriptyline 25mg 28' tabs uk
AMITRIPTYLINE 25MG TAB 28'S ACCORD,Other / uncategorised,amitriptyline 25mg tab 28's accord
AMITRIPTYLINE 25MG TABS 100'S VEGA,OTC,amitriptyline 25mg tabs 100's vega
